time,mean_power
1970-01-01T06:00:00Z,0
1970-01-01T06:00:03Z,0
1970-01-01T06:00:06Z,0
1970-01-01T06:00:09Z,0
1970-01-01T06:00:12Z,0
1970-01-01T06:00:15Z,0
1970-01-01T06:00:18Z,0
1970-01-01T06:00:21Z,0
1970-01-01T06:00:24Z,0
1970-01-01T06:00:27Z,0
1970-01-01T06:00:30Z,0
1970-01-01T06:00:33Z,0
1970-01-01T06:00:36Z,0
1970-01-01T06:00:39Z,0
1970-01-01T06:00:42Z,0
1970-01-01T06:00:45Z,0
1970-01-01T06:00:48Z,0
1970-01-01T06:00:51Z,0.05407407407407407
1970-01-01T06:00:54Z,0
1970-01-01T06:00:57Z,0
1970-01-01T06:01:00Z,0
1970-01-01T06:01:03Z,0
1970-01-01T06:01:06Z,0
1970-01-01T06:01:09Z,0
1970-01-01T06:01:12Z,0
1970-01-01T06:01:15Z,0
1970-01-01T06:01:18Z,0
1970-01-01T06:01:21Z,0
1970-01-01T06:01:24Z,0
1970-01-01T06:01:27Z,0
1970-01-01T06:01:30Z,0
1970-01-01T06:01:33Z,0
1970-01-01T06:01:36Z,0
1970-01-01T06:01:39Z,0
1970-01-01T06:01:42Z,0
1970-01-01T06:01:45Z,0
1970-01-01T06:01:48Z,0.052142857142857144
1970-01-01T06:01:51Z,0
1970-01-01T06:01:54Z,0
1970-01-01T06:01:57Z,0
1970-01-01T06:02:00Z,0
1970-01-01T06:02:03Z,0
1970-01-01T06:02:06Z,0
1970-01-01T06:02:09Z,0
1970-01-01T06:02:12Z,0
1970-01-01T06:02:15Z,0
1970-01-01T06:02:18Z,0
1970-01-01T06:02:21Z,0
1970-01-01T06:02:24Z,0
1970-01-01T06:02:27Z,0
1970-01-01T06:02:30Z,0
1970-01-01T06:02:33Z,0
1970-01-01T06:02:36Z,0
1970-01-01T06:02:39Z,0
1970-01-01T06:02:42Z,0
1970-01-01T06:02:45Z,0
1970-01-01T06:02:48Z,0
1970-01-01T06:02:51Z,0
1970-01-01T06:02:54Z,0
1970-01-01T06:02:57Z,0
1970-01-01T06:03:00Z,0
1970-01-01T06:03:03Z,0
1970-01-01T06:03:06Z,0
1970-01-01T06:03:09Z,0
1970-01-01T06:03:12Z,0
1970-01-01T06:03:15Z,0
1970-01-01T06:03:18Z,0
1970-01-01T06:03:21Z,0
1970-01-01T06:03:24Z,0
1970-01-01T06:03:27Z,0
1970-01-01T06:03:30Z,0
